datum,etmaal_gemiddelde,minimum_temperatuur,maximum_temperatuur
20150701,271,148,349
20150702,256,204,318
20150703,253,163,315
20150704,262,169,342
20150705,207,154,289
20150706,193,132,258
20150707,206,141,257
20150708,155,123,187
20150709,136,72,191
20150710,172,60,240
20150711,210,152,296
20150712,170,139,206
20150713,171,159,187
20150714,175,165,199
20150715,181,157,205
20150716,202,123,255
20150717,228,175,267
20150718,184,142,235
20150719,167,117,215
20150720,184,109,233
20150721,211,173,251
20150722,193,154,239
20150723,178,126,227
20150724,192,148,241
20150725,146,89,177
20150726,144,70,215
20150727,167,142,198
20150728,161,132,194
20150729,137,110,188
20150730,130,75,176
20150731,137,56,197
